order_id,customer_id,product_id,monto_venta,costo_envio,total_pedido,categoria_producto,estado
cfe9a2c324eefb180663116644e4f171,a87cd99f802b427e5d8ad0f568f71744,99b89f140f651db441848081814dd1a1,195.9,6.0,201.9,computers_accessories,delivered
cfe9a2c324eefb180663116644e4f171,a87cd99f802b427e5d8ad0f568f71744,99b89f140f651db441848081814dd1a1,195.9,6.0,201.9,computers_accessories,delivered
cfe9a2c324eefb180663116644e4f171,a87cd99f802b427e5d8ad0f568f71744,99b89f140f651db441848081814dd1a1,195.9,6.0,201.9,computers_accessories,delivered
cfea19cacc7328f2fccb914fb0fd5fe2,e66a1a0add343277389f32a6b9cf1a13,39342c8e5e512bb1757779a3821a450f,210.0,12.97,222.97,bed_bath_table,delivered
cfea19cacc7328f2fccb914fb0fd5fe2,e66a1a0add343277389f32a6b9cf1a13,39342c8e5e512bb1757779a3821a450f,210.0,12.97,222.97,bed_bath_table,delivered
cfea2c141cacb975b65831b7ffd6d194,6a95d327abbbcd54e780a8b44e0d17bb,7d018f8e4f93213ba7ad276e25fe20b1,19.9,25.63,45.53,watches_gifts,delivered
cfea8d218fdcd01ec074136ce618bda9,65fa4d77ee3d07d58421d02655d671b3,73326828aa5efe1ba096223de496f596,81.9,8.73,90.63,food,delivered
cfeabbe55161aacebc485e4fed2ec234,9aa6c220e3046bb40fb8b625fa1237c5,48ef156012e010507e2e96a9ef9e79f0,306.59,105.32,411.91,bed_bath_table,delivered
cfead345fd39589372b7ac0c255c0712,05b5f7bd9f0d0c31b4f479f1d4fd1c00,2e830c73f28d3b8542af03cf2637dfc4,11.6,7.39,18.99,electronics,delivered
cfeadbadadd7a16f2f95fc7a556f16fe,96fd44add323bdcc82ebbd23b4752ac0,6c34d241bbd85d693f1fee6a4b8a8e2b,845.0,66.65,911.65,small_appliances,delivered
cfeaf2d533a561edf1924cce57d35cfd,9f8e4ecccb611b74938b089f0c883c00,bdb4be6ce2f7f2b5be0a16088028c7fc,85.0,25.04,110.04,housewares,delivered
cfeafb929e8e089a77a5941999a6c608,504d0f9e21cb1577eea28f19076379cb,348f3e919406e3bbdd723015432b3e1a,98.4,42.72,141.12,sports_leisure,delivered
cfeb3afaa54f31d14c4d9a8107717ad8,abc6a537ee9498af3b3e1b59ce2b2ea3,b29c9ac1d3d4e8866f6c4ad814ae9591,128.0,9.09,137.09,health_beauty,delivered
cfeb6fba6506bc759791eafbf3acb0c7,6a368a84640ffeddd3d37a46e26384ed,a5db577b646be1ddbfdcf6dddeaf91ea,156.99,57.77,214.76,housewares,delivered
cfebb97f36814d6f42de3df1e03d0210,21bdd767d991e3dc7efdb6149f1e6c5e,af8acb9fc1592c0d00bf5b8a3d43e8e9,125.9,21.49,147.39,housewares,delivered
cfec3311b95bf95d0d8d30e4ede143c8,dbba692279feffca33cacac80a04a0ec,25da7af0ae86de644e6410fec1d599d1,650.0,80.34,730.34,auto,delivered
